ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave2,wave3,wave4,wave5,wave6,wave7
81829,7,396.7137409267775,3.2,0.0,0.0,3.0,2.0,2.0,3.0,4.0,2.0,1.0,3.5,1.25,3.6666666666666665,3.0,3.25,0,0,0,0,0,1
81830,7,358.30663537628124,3.0,0.0,1.0,4.5,4.0,2.0,3.0,4.0,2.0,1.0,2.25,2.0,1.3333333333333333,2.2,2.5,0,0,0,0,0,1
81831,7,358.30663537628124,2.4,0.0,1.0,13.0,5.0,5.0,3.0,4.0,2.0,1.0,2.25,2.75,1.0,2.0,1.75,0,0,0,0,0,1
81832,7,358.30663537628124,2.4,0.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,0.0,3.5,1.5,3.3333333333333335,3.0,3.25,0,0,0,0,0,1
81901,7,395.3728390358963,3.6,0.0,1.0,3.5,2.0,2.0,3.0,2.0,0.0,0.0,3.0,1.5,3.3333333333333335,2.4,3.0,0,0,0,0,0,1
81902,7,395.3728390358963,3.0,0.0,1.0,5.0,2.0,2.0,3.0,3.0,0.0,1.0,3.0,1.0,3.3333333333333335,3.6,3.5,0,0,0,0,0,1
81903,7,395.3728390358963,3.8,0.0,1.0,6.0,5.0,3.0,3.0,3.0,1.5,1.0,4.0,1.25,2.6666666666666665,3.2,3.75,0,0,0,0,0,1
81904,7,395.3728390358963,2.4,0.0,1.0,5.5,2.0,2.0,3.0,3.0,1.3333333333333333,1.0,3.0,2.0,2.6666666666666665,3.2,3.5,0,0,0,0,0,1
81906,7,395.3728390358963,2.2,0.0,1.0,1.0,2.0,2.0,3.0,4.0,1.5,1.0,3.0,1.25,2.3333333333333335,2.8,2.5,0,0,0,0,0,1
81908,7,437.7530934364428,3.0,0.0,0.0,7.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.25,4.0,3.4,4.0,0,0,0,0,0,1
81909,7,395.3728390358963,4.0,0.0,1.0,8.0,4.0,4.0,3.0,3.0,2.0,1.0,3.5,1.25,2.6666666666666665,2.8,2.0,0,0,0,0,0,1
81912,7,437.7530934364428,3.0,0.0,0.0,4.5,4.0,4.0,3.0,3.0,1.6666666666666665,1.0,2.75,2.5,3.0,3.2,3.0,0,0,0,0,0,1
81913,7,395.3728390358963,3.0,0.0,1.0,5.0,4.0,4.0,3.0,3.0,0.8333333333333333,0.0,2.5,2.75,3.0,2.6,2.75,0,0,0,0,0,1
81915,7,395.3728390358963,3.2,0.0,1.0,3.0,2.0,2.0,3.0,4.0,2.333333333333333,1.0,4.0,1.25,3.0,3.4,4.0,0,0,0,0,0,1
81916,7,437.7530934364428,3.4,0.0,0.0,6.0,4.0,4.0,3.0,3.0,3.333333333333333,0.0,3.25,2.25,3.0,3.2,3.0,0,0,0,0,0,1
81917,7,395.3728390358963,2.8,0.0,1.0,4.2,4.0,2.0,3.0,4.0,0.3333333333333333,1.0,3.0,2.0,4.0,4.0,4.0,0,0,0,0,0,1
81918,7,395.3728390358963,3.0,0.0,1.0,6.5,4.0,2.0,3.0,4.0,2.0,1.0,3.5,1.25,4.0,3.2,4.0,0,0,0,0,0,1
81920,7,395.3728390358963,3.4,0.0,1.0,4.0,3.0,2.0,3.0,4.0,0.0,1.0,4.0,1.5,4.0,3.6,4.0,0,0,0,0,0,1
