ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,presch,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6,wave7
15713,2,388.6648075305308,4.333333333333333,0.0,0.0,6.0,4.0,4.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,3.3333333333333335,3.6,3.5,0,0,0,0,0
15714,2,341.8376165917217,3.3333333333333335,0.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,3.5,0,0,0,0,0
15715,2,388.6648075305308,4.666666666666667,0.0,0.0,5.0,5.0,4.0,2.0,3.0,1.6666666666666665,1.0,1.0,4.0,2.0,3.3333333333333335,3.2,3.25,0,0,0,0,0
15716,2,341.8376165917217,4.333333333333333,0.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,1.0,0.0,3.5,2.0,3.6666666666666665,2.8,3.25,0,0,0,0,0
15718,2,341.8376165917217,4.0,0.0,1.0,5.0,4.0,2.0,3.0,3.0,1.6666666666666665,1.0,1.0,3.0,1.5,3.6666666666666665,3.0,3.0,0,0,0,0,0
15719,2,388.6648075305308,3.3333333333333335,0.0,0.0,2.0,2.0,2.0,3.0,3.0,2.6666666666666665,1.0,1.0,4.0,1.75,3.3333333333333335,2.6,3.75,0,0,0,0,0
15722,2,341.8376165917217,4.0,0.0,1.0,3.0,4.0,3.0,3.0,3.0,1.3333333333333333,1.0,1.0,3.5,3.25,3.0,2.8,3.5,0,0,0,0,0
15724,2,388.6648075305308,1.6666666666666667,0.0,0.0,5.0,5.0,2.0,3.0,4.0,0.6666666666666666,1.0,1.0,4.0,3.25,2.6666666666666665,2.4,3.5,0,0,0,0,0
15725,2,341.8376165917217,4.333333333333333,0.0,1.0,6.0,2.0,2.0,2.0,4.0,0.0,1.0,1.0,4.0,2.25,3.3333333333333335,3.4,4.0,0,0,0,0,0
15727,2,341.8376165917217,4.666666666666667,0.0,1.0,6.0,4.0,4.0,3.0,4.0,1.6666666666666665,1.0,1.0,4.0,1.75,4.0,3.4,3.75,0,0,0,0,0
15803,2,455.7834887889629,4.666666666666667,0.0,1.0,4.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,2.25,4.0,3.0,3.75,0,0,0,0,0
