ID,WAVE,WEIGHT1,score,mc,male,income,fa_edu,mo_edu,par_satis,health,aft_sch,aft_sch1,care,abuse,sch_study,friend,teacher,wave3,wave4,wave5,wave6
14416,2,526.4942342357992,3.2,0.0,1.0,20.0,4.0,4.0,4.0,3.0,0.0,1.0,2.5,2.5,2.3333333333333335,2.4,2.5,0,0,0,0
14417,2,526.4942342357992,1.8,0.0,1.0,10.0,4.0,5.0,4.0,4.0,1.3333333333333333,1.0,2.5,1.25,2.6666666666666665,3.2,3.25,0,0,0,0
14418,2,377.5614774499696,4.0,0.0,0.0,6.0,4.0,4.0,3.0,4.0,4.333333333333333,1.0,3.75,2.25,3.3333333333333335,3.2,4.0,0,0,0,0
14419,2,526.4942342357992,3.4,0.0,1.0,6.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.6666666666666665,3.2,3.25,0,0,0,0
14423,2,377.5614774499696,4.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,0,0,0,0
14424,2,377.5614774499696,4.6,0.0,0.0,10.0,4.0,4.0,3.0,4.0,2.333333333333333,1.0,4.0,1.0,3.0,3.6,4.0,0,0,0,0
14425,2,526.4942342357992,3.0,0.0,1.0,5.0,4.0,4.0,3.0,4.0,3.4999999999999996,1.0,3.0,1.75,3.0,3.2,2.75,0,0,0,0
14426,2,377.5614774499696,3.2,0.0,0.0,8.0,3.0,3.0,3.0,4.0,2.0,1.0,3.0,1.5,3.0,2.6,3.75,0,0,0,0
14427,2,526.4942342357992,3.3333333333333335,0.0,1.0,6.0,2.0,2.0,3.0,3.0,3.5,1.0,2.75,1.75,3.0,3.0,3.25,0,0,0,0
14428,2,377.5614774499696,4.4,0.0,0.0,8.0,5.0,5.0,3.0,2.0,2.0,1.0,3.25,1.25,3.6666666666666665,2.4,3.25,0,0,0,0
14429,2,377.5614774499696,3.0,0.0,0.0,6.5,3.0,3.0,3.0,3.0,0.0,1.0,3.0,1.25,2.6666666666666665,3.0,2.5,0,0,0,0
14430,2,526.4942342357992,4.0,0.0,1.0,6.0,4.0,4.0,3.0,3.0,0.0,1.0,2.75,2.0,3.0,2.8,3.0,0,0,0,0
14431,2,526.4942342357992,1.6,0.0,1.0,15.0,4.0,3.0,4.0,1.0,1.3333333333333333,1.0,3.75,2.75,3.0,2.4,4.0,0,0,0,0
14432,2,377.5614774499696,1.4,0.0,0.0,1.0,2.0,2.0,3.0,4.0,1.3333333333333333,1.0,2.75,2.5,2.3333333333333335,2.4,2.75,0,0,0,0
14433,2,377.5614774499696,3.4,0.0,0.0,5.0,4.0,4.0,3.0,4.0,2.6666666666666665,1.0,3.75,1.0,3.0,3.0,4.0,0,0,0,0
14501,2,464.6910491691928,3.0,0.0,0.0,2.5,4.0,4.0,3.0,4.0,2.0,1.0,3.0,1.5,2.6666666666666665,3.2,2.75,0,0,0,0
14502,2,464.6910491691928,1.8,0.0,0.0,3.84,2.0,2.0,3.0,3.0,0.0,0.0,3.5,1.25,2.3333333333333335,3.0,2.75,0,0,0,0
14504,2,464.6910491691928,2.0,0.0,0.0,5.0,4.0,4.0,3.0,4.0,0.0,1.0,3.75,3.75,2.6666666666666665,3.0,2.75,0,0,0,0
14507,2,647.9929036748301,3.0,0.0,1.0,6.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0,2.5,0,0,0,0
14512,2,647.9929036748301,3.2,0.0,1.0,6.0,2.0,2.0,3.0,3.0,1.3333333333333333,1.0,3.5,1.5,1.0,1.0,1.0,0,0,0,0
14514,2,464.6910491691928,3.0,0.0,0.0,4.5,4.0,4.0,4.0,3.0,1.3333333333333333,1.0,3.25,1.5,2.6666666666666665,2.8,2.25,0,0,0,0
14515,2,459.00563920075416,3.4,0.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,2.5,2.75,3.0,3.2,2.5,0,0,0,0
14516,2,656.0191782984826,3.0,0.0,0.0,4.5,2.0,2.0,3.0,3.0,2.5,1.0,2.25,1.25,2.3333333333333335,3.0,3.0,0,0,0,0
14517,2,464.6910491691928,3.0,0.0,0.0,4.0,2.0,2.0,3.0,3.0,1.3333333333333333,1.0,2.75,1.0,3.0,2.8,2.5,0,0,0,0
14523,2,459.00563920075416,4.0,0.0,1.0,6.0,4.0,4.0,4.0,4.0,2.0,1.0,3.25,2.75,2.6666666666666665,3.0,3.0,0,0,0,0
14524,2,656.0191782984826,2.8,0.0,0.0,10.0,4.0,4.0,4.0,4.0,3.333333333333333,1.0,3.0,2.25,2.0,4.0,1.5,0,0,0,0
14527,2,459.00563920075416,5.0,0.0,1.0,5.0,4.0,4.0,3.0,4.0,0.0,1.0,1.0,1.0,4.0,3.2,3.5,0,0,0,0
14528,2,656.0191782984826,4.0,0.0,0.0,6.0,3.0,2.0,3.0,3.0,1.3333333333333333,1.0,4.0,2.0,3.0,3.4,4.0,0,0,0,0
14529,2,464.6910491691928,3.2,0.0,0.0,1.5,4.0,1.0,3.0,3.0,1.3333333333333333,1.0,3.75,1.75,2.3333333333333335,2.8,3.0,0,0,0,0
